id_appointment,id_cust,id_pegawai,pelayanan,tanggal,cara_pembayaran,total
APT00101,CUST00101,PGW028,Pedicure,2025-02-28,Cash,70000
APT00102,CUST00102,PGW006,Creambath,2024-12-29,E-Wallet,75000
APT00103,CUST00103,PGW013,Potong Rambut,2024-11-14,Cash,50000
APT00104,CUST00104,PGW009,Pedicure,2025-02-03,Cash,70000
APT00105,CUST00105,PGW001,Manicure,2024-08-20,Cash,60000
APT00106,CUST00106,PGW016,Facial,2024-08-07,Debit,100000
APT00107,CUST00107,PGW028,Hair Coloring,2025-01-25,Debit,200000
APT00108,CUST00108,PGW029,Eyelash Extension,2025-02-15,Credit Card,150000
APT00109,CUST00109,PGW022,Facial,2024-10-19,Cash,100000
APT00110,CUST00110,PGW011,Smoothing,2024-06-05,E-Wallet,250000
APT00111,CUST00111,PGW028,Creambath,2024-08-18,Debit,75000
APT00112,CUST00112,PGW011,Hair Spa,2024-09-19,Cash,120000
APT00113,CUST00113,PGW005,Hair Coloring,2024-06-25,Credit Card,200000
APT00114,CUST00114,PGW019,Potong Rambut,2025-02-22,Cash,50000
APT00115,CUST00115,PGW030,Pedicure,2024-10-10,Debit,70000
APT00116,CUST00116,PGW028,Pedicure,2024-06-21,E-Wallet,70000
APT00117,CUST00117,PGW023,Eyelash Extension,2025-04-29,Cash,150000
APT00118,CUST00118,PGW026,Creambath,2024-08-16,Debit,75000
APT00119,CUST00119,PGW028,Hair Coloring,2025-03-05,Credit Card,200000
APT00120,CUST00120,PGW020,Potong Rambut,2025-02-19,Debit,50000
APT00121,CUST00121,PGW014,Smoothing,2024-08-09,E-Wallet,250000
APT00122,CUST00122,PGW020,Manicure,2024-09-23,Credit Card,60000
APT00123,CUST00123,PGW011,Hair Spa,2024-11-11,Debit,120000
APT00124,CUST00124,PGW010,Potong Rambut,2024-09-07,Credit Card,50000
APT00125,CUST00125,PGW025,Smoothing,2025-03-19,Cash,250000
APT00126,CUST00126,PGW015,Manicure,2024-07-26,Credit Card,60000
APT00127,CUST00127,PGW029,Hair Coloring,2024-07-17,Cash,200000
APT00128,CUST00128,PGW004,Smoothing,2024-07-26,E-Wallet,250000
APT00129,CUST00129,PGW004,Hair Coloring,2025-04-24,Debit,200000
APT00130,CUST00130,PGW010,Facial,2025-04-16,Debit,100000
APT00131,CUST00131,PGW005,Smoothing,2025-02-15,Cash,250000
APT00132,CUST00132,PGW020,Manicure,2025-03-12,Credit Card,60000
APT00133,CUST00133,PGW008,Creambath,2024-12-27,Credit Card,75000
APT00134,CUST00134,PGW030,Hair Coloring,2025-01-15,Debit,200000
APT00135,CUST00135,PGW012,Hair Spa,2024-06-08,Debit,120000
APT00136,CUST00136,PGW023,Cuci Blow,2024-07-30,Cash,40000
APT00137,CUST00137,PGW025,Manicure,2024-11-03,Cash,60000
APT00138,CUST00138,PGW005,Facial,2025-05-04,E-Wallet,100000
APT00139,CUST00139,PGW002,Smoothing,2024-10-21,Debit,250000
APT00140,CUST00140,PGW029,Hair Spa,2024-10-25,E-Wallet,120000
APT00141,CUST00141,PGW006,Pedicure,2025-02-05,Credit Card,70000
APT00142,CUST00142,PGW019,Pedicure,2024-12-07,Credit Card,70000
APT00143,CUST00143,PGW026,Creambath,2024-07-01,E-Wallet,75000
APT00144,CUST00144,PGW019,Smoothing,2025-01-14,E-Wallet,250000
APT00145,CUST00145,PGW020,Cuci Blow,2025-02-28,Credit Card,40000
APT00146,CUST00146,PGW007,Potong Rambut,2024-09-17,Debit,50000
APT00147,CUST00147,PGW010,Creambath,2025-03-15,Debit,75000
APT00148,CUST00148,PGW024,Hair Coloring,2024-09-08,Credit Card,200000
APT00149,CUST00149,PGW015,Potong Rambut,2024-06-28,Debit,50000
APT00150,CUST00150,PGW019,Pedicure,2024-09-16,Cash,70000
APT00151,CUST00151,PGW019,Pedicure,2024-08-05,E-Wallet,70000
APT00152,CUST00152,PGW021,Pedicure,2025-03-12,E-Wallet,70000
APT00153,CUST00153,PGW014,Cuci Blow,2024-12-06,Cash,40000
APT00154,CUST00154,PGW022,Hair Coloring,2024-06-02,Cash,200000
APT00155,CUST00155,PGW024,Hair Spa,2025-04-26,E-Wallet,120000
APT00156,CUST00156,PGW005,Hair Spa,2025-01-15,Debit,120000
APT00157,CUST00157,PGW020,Smoothing,2025-05-19,Cash,250000
APT00158,CUST00158,PGW027,Facial,2025-05-22,Cash,100000
APT00159,CUST00159,PGW013,Hair Spa,2024-08-21,Cash,120000
APT00160,CUST00160,PGW003,Smoothing,2024-07-31,Cash,250000
APT00161,CUST00161,PGW026,Pedicure,2024-09-04,Credit Card,70000
APT00162,CUST00162,PGW024,Cuci Blow,2025-01-08,Cash,40000
APT00163,CUST00163,PGW004,Hair Spa,2025-05-08,E-Wallet,120000
APT00164,CUST00164,PGW006,Hair Coloring,2024-06-04,Credit Card,200000
APT00165,CUST00165,PGW028,Smoothing,2024-09-07,Cash,250000
APT00166,CUST00166,PGW009,Manicure,2025-04-22,Debit,60000
APT00167,CUST00167,PGW008,Smoothing,2025-01-10,Debit,250000
APT00168,CUST00168,PGW009,Hair Spa,2024-09-09,E-Wallet,120000
APT00169,CUST00169,PGW001,Manicure,2024-11-30,Credit Card,60000
APT00170,CUST00170,PGW008,Hair Coloring,2024-11-16,Cash,200000
APT00171,CUST00171,PGW016,Hair Coloring,2025-02-11,E-Wallet,200000
APT00172,CUST00172,PGW023,Facial,2024-08-23,Debit,100000
APT00173,CUST00173,PGW018,Hair Coloring,2024-11-27,Cash,200000
APT00174,CUST00174,PGW027,Facial,2024-07-28,Debit,100000
APT00175,CUST00175,PGW029,Smoothing,2024-08-11,Cash,250000
APT00176,CUST00176,PGW025,Pedicure,2024-10-28,E-Wallet,70000
APT00177,CUST00177,PGW030,Eyelash Extension,2024-05-31,E-Wallet,150000
APT00178,CUST00178,PGW024,Eyelash Extension,2025-01-23,Debit,150000
APT00179,CUST00179,PGW006,Manicure,2025-05-04,Cash,60000
APT00180,CUST00180,PGW021,Pedicure,2024-08-03,Debit,70000
APT00181,CUST00181,PGW026,Hair Spa,2025-04-29,Cash,120000
APT00182,CUST00182,PGW013,Smoothing,2024-06-16,Debit,250000
APT00183,CUST00183,PGW028,Facial,2024-06-21,Debit,100000
APT00184,CUST00184,PGW008,Smoothing,2024-12-15,Credit Card,250000
APT00185,CUST00185,PGW027,Potong Rambut,2024-08-19,E-Wallet,50000
APT00186,CUST00186,PGW003,Manicure,2025-04-05,Cash,60000
APT00187,CUST00187,PGW030,Creambath,2025-01-15,E-Wallet,75000
APT00188,CUST00188,PGW028,Creambath,2024-10-28,Debit,75000
APT00189,CUST00189,PGW019,Creambath,2024-10-23,E-Wallet,75000
APT00190,CUST00190,PGW020,Hair Spa,2024-12-02,Cash,120000
APT00191,CUST00191,PGW017,Manicure,2024-10-24,Debit,60000
APT00192,CUST00192,PGW011,Facial,2024-11-23,Credit Card,100000
APT00193,CUST00193,PGW024,Potong Rambut,2024-12-25,E-Wallet,50000
APT00194,CUST00194,PGW018,Pedicure,2024-06-27,Credit Card,70000
APT00195,CUST00195,PGW026,Facial,2025-05-18,Debit,100000
APT00196,CUST00196,PGW009,Pedicure,2024-08-04,E-Wallet,70000
APT00197,CUST00197,PGW020,Pedicure,2025-04-12,Credit Card,70000
APT00198,CUST00198,PGW011,Cuci Blow,2025-03-15,Debit,40000
APT00199,CUST00199,PGW025,Hair Coloring,2025-04-27,Cash,200000
APT00200,CUST00200,PGW029,Hair Coloring,2024-07-13,Credit Card,200000
APT00201,CUST00201,PGW030,Eyelash Extension,2024-09-13,Debit,150000
APT00202,CUST00202,PGW025,Cuci Blow,2024-11-12,Cash,40000
APT00203,CUST00203,PGW006,Creambath,2024-08-06,E-Wallet,75000
APT00204,CUST00204,PGW007,Pedicure,2024-06-22,Debit,70000
APT00205,CUST00205,PGW007,Facial,2024-07-22,Debit,100000
APT00206,CUST00206,PGW006,Cuci Blow,2025-04-06,Cash,40000
APT00207,CUST00207,PGW025,Cuci Blow,2024-10-31,Debit,40000
APT00208,CUST00208,PGW001,Potong Rambut,2024-08-14,Debit,50000
APT00209,CUST00209,PGW016,Facial,2025-03-29,Debit,100000
APT00210,CUST00210,PGW007,Cuci Blow,2025-04-27,E-Wallet,40000
APT00211,CUST00211,PGW008,Smoothing,2024-10-26,E-Wallet,250000
APT00212,CUST00212,PGW030,Hair Spa,2025-04-01,Debit,120000
APT00213,CUST00213,PGW007,Hair Spa,2024-08-03,Credit Card,120000
APT00214,CUST00214,PGW002,Facial,2025-04-14,Credit Card,100000
APT00215,CUST00215,PGW006,Pedicure,2024-10-23,Debit,70000
APT00216,CUST00216,PGW027,Hair Spa,2024-11-07,Debit,120000
APT00217,CUST00217,PGW020,Manicure,2024-07-18,E-Wallet,60000
APT00218,CUST00218,PGW021,Cuci Blow,2024-06-10,Credit Card,40000
APT00219,CUST00219,PGW005,Hair Spa,2024-10-29,Credit Card,120000
APT00220,CUST00220,PGW002,Manicure,2024-07-18,E-Wallet,60000
APT00221,CUST00221,PGW026,Potong Rambut,2024-08-17,Debit,50000
APT00222,CUST00222,PGW002,Hair Spa,2024-06-03,Cash,120000
APT00223,CUST00223,PGW023,Cuci Blow,2024-07-02,Cash,40000
APT00224,CUST00224,PGW007,Facial,2025-02-22,Debit,100000
APT00225,CUST00225,PGW001,Hair Coloring,2024-09-27,E-Wallet,200000
APT00226,CUST00226,PGW029,Hair Coloring,2024-09-21,Credit Card,200000
APT00227,CUST00227,PGW006,Facial,2025-02-02,Debit,100000
APT00228,CUST00228,PGW021,Hair Spa,2025-01-07,Cash,120000
APT00229,CUST00229,PGW012,Potong Rambut,2024-09-18,Credit Card,50000
APT00230,CUST00230,PGW016,Pedicure,2024-09-03,Cash,70000
APT00231,CUST00231,PGW030,Cuci Blow,2024-08-04,Debit,40000
APT00232,CUST00232,PGW021,Hair Spa,2025-03-07,E-Wallet,120000
APT00233,CUST00233,PGW008,Creambath,2025-05-13,Debit,75000
APT00234,CUST00234,PGW020,Cuci Blow,2025-05-20,E-Wallet,40000
APT00235,CUST00235,PGW003,Pedicure,2025-03-14,Credit Card,70000
APT00236,CUST00236,PGW022,Facial,2024-12-20,Cash,100000
APT00237,CUST00237,PGW024,Potong Rambut,2024-08-15,Debit,50000
APT00238,CUST00238,PGW016,Manicure,2025-03-19,Cash,60000
APT00239,CUST00239,PGW013,Hair Spa,2025-01-24,E-Wallet,120000
APT00240,CUST00240,PGW027,Pedicure,2024-12-30,Debit,70000
APT00241,CUST00241,PGW026,Potong Rambut,2024-08-16,Cash,50000
APT00242,CUST00242,PGW007,Hair Coloring,2025-05-24,Credit Card,200000
APT00243,CUST00243,PGW003,Smoothing,2024-05-31,Cash,250000
APT00244,CUST00244,PGW002,Hair Spa,2025-05-06,Debit,120000
APT00245,CUST00245,PGW023,Pedicure,2025-04-23,Cash,70000
APT00246,CUST00246,PGW006,Cuci Blow,2024-11-03,E-Wallet,40000
APT00247,CUST00247,PGW005,Manicure,2024-07-23,Debit,60000
APT00248,CUST00248,PGW015,Hair Spa,2024-12-05,E-Wallet,120000
APT00249,CUST00249,PGW011,Smoothing,2025-03-18,E-Wallet,250000
APT00250,CUST00250,PGW019,Pedicure,2025-04-24,Cash,70000
APT00251,CUST00251,PGW025,Cuci Blow,2024-09-07,Debit,40000
APT00252,CUST00252,PGW030,Potong Rambut,2024-06-23,Credit Card,50000
APT00253,CUST00253,PGW014,Smoothing,2025-04-23,Debit,250000
APT00254,CUST00254,PGW028,Cuci Blow,2025-03-31,Debit,40000
APT00255,CUST00255,PGW008,Smoothing,2024-10-22,Debit,250000
APT00256,CUST00256,PGW024,Potong Rambut,2025-02-24,Credit Card,50000
APT00257,CUST00257,PGW022,Manicure,2024-11-12,Cash,60000
APT00258,CUST00258,PGW019,Hair Spa,2024-09-07,E-Wallet,120000
APT00259,CUST00259,PGW016,Eyelash Extension,2025-02-16,Cash,150000
APT00260,CUST00260,PGW017,Creambath,2024-06-29,Cash,75000
APT00261,CUST00261,PGW014,Eyelash Extension,2025-05-29,Cash,150000
APT00262,CUST00262,PGW023,Smoothing,2025-01-05,Credit Card,250000
APT00263,CUST00263,PGW030,Hair Coloring,2025-01-12,Credit Card,200000
APT00264,CUST00264,PGW016,Manicure,2024-06-23,Credit Card,60000
APT00265,CUST00265,PGW030,Smoothing,2024-12-23,Debit,250000
APT00266,CUST00266,PGW013,Hair Spa,2024-05-31,Debit,120000
APT00267,CUST00267,PGW010,Potong Rambut,2024-12-31,E-Wallet,50000
APT00268,CUST00268,PGW009,Manicure,2024-10-05,Debit,60000
APT00269,CUST00269,PGW021,Eyelash Extension,2025-03-07,Cash,150000
APT00270,CUST00270,PGW028,Cuci Blow,2024-08-13,Debit,40000
APT00271,CUST00271,PGW022,Hair Coloring,2024-12-18,E-Wallet,200000
APT00272,CUST00272,PGW015,Facial,2024-09-08,Debit,100000
APT00273,CUST00273,PGW016,Smoothing,2024-08-24,Cash,250000
APT00274,CUST00274,PGW007,Hair Spa,2024-09-20,Credit Card,120000
APT00275,CUST00275,PGW012,Pedicure,2024-12-03,Cash,70000
APT00276,CUST00276,PGW021,Manicure,2024-06-21,E-Wallet,60000
APT00277,CUST00277,PGW009,Hair Spa,2025-03-10,Debit,120000
APT00278,CUST00278,PGW010,Eyelash Extension,2024-08-17,Cash,150000
APT00279,CUST00279,PGW022,Smoothing,2025-01-08,Debit,250000
APT00280,CUST00280,PGW005,Creambath,2024-11-09,Debit,75000
APT00281,CUST00281,PGW029,Hair Spa,2024-11-20,E-Wallet,120000
APT00282,CUST00282,PGW018,Manicure,2024-09-01,Credit Card,60000
APT00283,CUST00283,PGW030,Facial,2024-12-14,E-Wallet,100000
APT00284,CUST00284,PGW017,Manicure,2024-11-05,E-Wallet,60000
APT00285,CUST00285,PGW028,Hair Spa,2024-12-16,E-Wallet,120000
APT00286,CUST00286,PGW016,Pedicure,2024-08-27,E-Wallet,70000
APT00287,CUST00287,PGW002,Manicure,2025-04-14,Credit Card,60000
APT00288,CUST00288,PGW002,Cuci Blow,2025-02-13,Cash,40000
APT00289,CUST00289,PGW028,Pedicure,2025-04-07,E-Wallet,70000
APT00290,CUST00290,PGW024,Pedicure,2024-08-22,Credit Card,70000
APT00291,CUST00291,PGW011,Hair Spa,2024-12-26,Credit Card,120000
APT00292,CUST00292,PGW007,Hair Spa,2024-12-16,E-Wallet,120000
APT00293,CUST00293,PGW014,Hair Coloring,2025-03-08,E-Wallet,200000
APT00294,CUST00294,PGW028,Hair Coloring,2024-10-11,E-Wallet,200000
APT00295,CUST00295,PGW007,Cuci Blow,2025-05-12,Debit,40000
APT00296,CUST00296,PGW028,Manicure,2024-12-26,Cash,60000
APT00297,CUST00297,PGW003,Smoothing,2024-07-17,Cash,250000
APT00298,CUST00298,PGW011,Cuci Blow,2024-08-12,Debit,40000
APT00299,CUST00299,PGW010,Eyelash Extension,2024-07-29,Cash,150000
APT00300,CUST00300,PGW020,Pedicure,2024-09-24,E-Wallet,70000
APT00301,CUST00301,PGW011,Creambath,2025-04-30,E-Wallet,75000
APT00302,CUST00302,PGW014,Potong Rambut,2024-11-21,Credit Card,50000
APT00303,CUST00303,PGW011,Hair Coloring,2024-07-18,Debit,200000
APT00304,CUST00304,PGW013,Eyelash Extension,2025-02-10,Debit,150000
APT00305,CUST00305,PGW008,Facial,2025-05-08,Debit,100000
APT00306,CUST00306,PGW009,Manicure,2024-07-14,Debit,60000
APT00307,CUST00307,PGW029,Hair Spa,2025-01-03,E-Wallet,120000
APT00308,CUST00308,PGW030,Eyelash Extension,2024-07-26,E-Wallet,150000
APT00309,CUST00309,PGW021,Hair Spa,2025-05-20,Debit,120000
APT00310,CUST00310,PGW015,Cuci Blow,2024-06-27,Credit Card,40000
APT00311,CUST00311,PGW010,Hair Coloring,2024-10-09,Credit Card,200000
APT00312,CUST00312,PGW005,Smoothing,2024-11-16,E-Wallet,250000
APT00313,CUST00313,PGW013,Hair Coloring,2025-05-11,Debit,200000
APT00314,CUST00314,PGW028,Eyelash Extension,2024-07-04,Debit,150000
APT00315,CUST00315,PGW024,Potong Rambut,2024-09-10,Debit,50000
APT00316,CUST00316,PGW004,Manicure,2024-12-17,Credit Card,60000
APT00317,CUST00317,PGW026,Hair Coloring,2025-04-26,Cash,200000
APT00318,CUST00318,PGW009,Creambath,2024-09-09,Debit,75000
APT00319,CUST00319,PGW022,Potong Rambut,2024-07-12,Debit,50000
APT00320,CUST00320,PGW018,Potong Rambut,2024-11-19,Credit Card,50000
APT00321,CUST00321,PGW028,Smoothing,2024-11-09,E-Wallet,250000
APT00322,CUST00322,PGW017,Cuci Blow,2025-05-16,Cash,40000
APT00323,CUST00323,PGW002,Potong Rambut,2025-02-22,Credit Card,50000
APT00324,CUST00324,PGW014,Creambath,2025-04-10,Credit Card,75000
APT00325,CUST00325,PGW006,Pedicure,2024-12-02,Debit,70000
APT00326,CUST00326,PGW010,Facial,2025-01-10,Cash,100000
APT00327,CUST00327,PGW016,Cuci Blow,2024-10-05,E-Wallet,40000
APT00328,CUST00328,PGW021,Potong Rambut,2024-10-19,E-Wallet,50000
APT00329,CUST00329,PGW029,Potong Rambut,2024-11-29,E-Wallet,50000
APT00330,CUST00330,PGW021,Cuci Blow,2024-09-21,Credit Card,40000
APT00331,CUST00331,PGW027,Cuci Blow,2024-11-04,Debit,40000
APT00332,CUST00332,PGW029,Eyelash Extension,2024-08-08,Debit,150000
APT00333,CUST00333,PGW029,Eyelash Extension,2024-06-16,Debit,150000
APT00334,CUST00334,PGW024,Manicure,2024-06-09,Cash,60000
APT00335,CUST00335,PGW013,Smoothing,2024-10-11,Cash,250000
APT00336,CUST00336,PGW022,Hair Spa,2025-05-28,E-Wallet,120000
APT00337,CUST00337,PGW003,Manicure,2024-12-20,Debit,60000
APT00338,CUST00338,PGW004,Facial,2024-08-25,Debit,100000
APT00339,CUST00339,PGW003,Manicure,2024-09-14,Debit,60000
APT00340,CUST00340,PGW027,Hair Coloring,2024-10-10,Credit Card,200000
APT00341,CUST00341,PGW011,Hair Spa,2024-07-09,Cash,120000
APT00342,CUST00342,PGW025,Smoothing,2024-12-24,Debit,250000
APT00343,CUST00343,PGW016,Hair Spa,2025-05-02,Cash,120000
APT00344,CUST00344,PGW014,Manicure,2025-04-16,Debit,60000
APT00345,CUST00345,PGW021,Manicure,2024-11-21,Cash,60000
APT00346,CUST00346,PGW020,Hair Coloring,2024-07-13,Credit Card,200000
APT00347,CUST00347,PGW005,Hair Coloring,2024-12-12,Cash,200000
APT00348,CUST00348,PGW029,Eyelash Extension,2025-01-01,Debit,150000
APT00349,CUST00349,PGW020,Creambath,2024-08-16,Credit Card,75000
APT00350,CUST00350,PGW017,Creambath,2024-05-31,E-Wallet,75000
APT00351,CUST00351,PGW003,Manicure,2024-06-10,E-Wallet,60000
APT00352,CUST00352,PGW030,Facial,2024-12-10,Cash,100000
APT00353,CUST00353,PGW017,Eyelash Extension,2025-01-17,E-Wallet,150000
APT00354,CUST00354,PGW007,Manicure,2024-08-07,E-Wallet,60000
APT00355,CUST00355,PGW001,Pedicure,2025-04-01,Credit Card,70000
APT00356,CUST00356,PGW003,Creambath,2024-09-13,Credit Card,75000
APT00357,CUST00357,PGW023,Cuci Blow,2024-07-04,Cash,40000
APT00358,CUST00358,PGW012,Cuci Blow,2024-07-24,Debit,40000
APT00359,CUST00359,PGW018,Manicure,2024-09-04,E-Wallet,60000
APT00360,CUST00360,PGW013,Pedicure,2025-05-10,Credit Card,70000
APT00361,CUST00361,PGW019,Creambath,2025-05-14,E-Wallet,75000
APT00362,CUST00362,PGW005,Manicure,2024-06-13,E-Wallet,60000
APT00363,CUST00363,PGW001,Hair Spa,2024-08-11,Cash,120000
APT00364,CUST00364,PGW021,Facial,2025-01-20,E-Wallet,100000
APT00365,CUST00365,PGW025,Potong Rambut,2024-09-10,Cash,50000
APT00366,CUST00366,PGW012,Smoothing,2025-03-07,Cash,250000
APT00367,CUST00367,PGW023,Cuci Blow,2025-02-06,Credit Card,40000
APT00368,CUST00368,PGW017,Hair Spa,2025-02-17,Cash,120000
APT00369,CUST00369,PGW020,Eyelash Extension,2024-11-10,E-Wallet,150000
